StateCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
NM,954000,965000,979000,989000,1006000,1012000,1007000,1e+06,994000,1011000,1017055,1053737,1078697,1105529,1131309,1159944,1189295,1215720,1238034,1284722,1302894,1332748,1363823,1394361,1416717,1438361,1462729,1478520,1490337,1503901,1519933,1547115,1580750,1614937,1653329,1682417,1706151,1722939,1733535,1739844,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064614,2080707,2087715,2092833,2090236,2090071,2092555,2092844,2093754,2099634,2118390,2116677
NV,291000,315000,352000,397000,426000,444000,446000,449000,464000,480000,488738,520018,546789,568991,596822,619972,646975,678333,719436,765367,800493,847655,881537,901977,924922,951030,980613,1023376,1075022,1137382,1218629,1285046,1330694,1380197,1456388,1525777,1596476,1675581,1743772,1809253,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702483,2713114,2744670,2776956,2818935,2868531,2919555,2972097,3030725,3090771,3115648,3146402
NY,16838000,17061000,17301000,17461000,17589000,17734000,17843000,17935000,18051000,18105000,18241391,18357982,18339400,18177063,18049775,18003485,17940541,17812602,17680589,17583838,17558072,17567734,17589738,17686905,17745684,17791672,17833419,17868848,17941309,17983086,18002855,1802932,18082032,18140894,18156652,18150928,18143805,18143184,18159175,18196601,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19399956,19499921,19574362,19626488,19653431,19657321,19636391,19593849,19544098,19463131,20108296,19857492
OH,9734000,9854000,9929000,9986000,10080000,10201000,10330000,10414000,10516000,10563000,10657423,10734818,10746993,10767314,10765759,10770425,10752662,10771394,10795581,10798298,10797630,10788330,10757087,10737632,10737746,10734926,10730268,10760090,10798552,10829217,10861837,10933683,11007609,11070385,11111451,11155493,11187032,11212498,11237752,11256654,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539449,11545735,11550971,11579692,11606573,11622315,11640060,11665706,11680892,11696507,11797517,11764342
OK,2336000,2380000,2427000,2439000,2446000,2440000,2454000,2489000,2503000,2535000,2559463,2618601,2658646,2695931,2734768,2774683,2826815,2870014,2917336,2975310,3025290,3096164,3206123,3290402,3285533,3271332,3252735,3210122,3167057,3150307,3147105,3166471,3204174,3228829,3246119,3265547,3289634,3314259,3339478,3358044,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3760014,3788824,3819320,3853891,3879187,3910518,3928143,3933602,3943488,3960676,3964912,3991225
OR,1772000,1787000,1818000,1853000,1888000,1937000,1969000,1979000,2004000,2062000,2091533,2151022,2197297,2241932,2285013,2329661,2378262,2446673,2518298,2588012,2633105,2667982,2664922,2653066,2666588,2672652,2683528,2700991,2741297,2790575,2858547,2918745,2973934,3034490,3087142,3141421,3195087,3243254,3282055,3316154,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837614,3872672,3900102,3924110,3965447,4018542,4093271,4147294,4183538,4216116,4244795,4256301
PA,11329000,11392000,11355000,11424000,11519000,11620000,11664000,11681000,11741000,11741000,11800766,11886400,11908233,11890527,11870884,11906095,11897378,11893591,11879396,11887975,11863895,11858567,11845146,11837723,11815172,11770862,11782752,11810866,11845752,11865996,11895604,11943160,11980819,12022128,12042545,12044780,12038008,12015888,12002329,11994016,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711406,12747052,12769123,12779538,12792392,12789838,12788468,12794679,12809107,12798883,12994440,13012059
RI,855000,858000,871000,876000,885000,893000,899000,909000,922000,932000,949723,963107,974790,975738,950615,942788,946089,950230,951816,950382,947154,953013,954170,956382,961894,968955,977341,989604,996408,1000666,1004649,1003990,1000571,997852,993412,989203,987858,986966,1031155,990819,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053994,1053829,1054893,1055560,1056511,1056886,1057816,1056554,1059338,1058158,1096345,1096985
SC,2392000,2409000,2423000,2460000,2475000,2494000,2520000,2533000,2559000,2570000,2590713,2662269,2719197,2776605,2844749,2902028,2943657,2991681,3044364,3090267,3121820,3179255,3207614,3234066,3271868,3303209,3342758,3380506,3412096,3456775,3499064,3559470,3600576,3634507,3666456,3699943,3738974,3790066,3839578,3885736,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4635846,4672655,4719027,4766469,4826858,4896006,4963031,5027102,5091702,5157702,5131848,5193266
SD,683000,693000,705000,708000,701000,692000,683000,671000,669000,668000,666257,671297,677234,678715,679585,681042,686390,688480,688580,688335,690768,689584,690597,693008,697249,698402,696034,696036,698165,696701,696667,701445,708698,716258,723038,728251,730699,730855,730789,733133,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816193,823740,833859,842751,849670,854663,863693,873732,879386,887127,887799,896164
TN,3575000,3622000,3673000,3718000,3771000,3798000,3822000,3859000,3878000,3897000,3926018,4013608,4094611,4147401,4213509,4275566,4346928,4422921,4486314,4560473,4591120,4627658,4646041,4659749,4686737,4715296,4738708,4782927,4822437,4854444,4890626,4946886,5013999,5085666,5163016,5241168,5313576,5378433,5432679,5483535,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6355518,6400298,6455752,6496943,6544617,6595354,6651277,6714748,6778180,6830325,6925619,6968351
TX,9624000,9820000,10053000,10159000,10270000,10378000,10492000,10599000,10819000,11045000,11198655,11509848,11759148,12019543,12268629,12568843,12904089,13193050,13500429,13888371,14229191,14746318,15331415,15751676,16007086,16272734,16561113,16621791,16667022,16806735,17044714,17339904,17650479,17996764,18338319,18679706,19006240,19355427,19712389,20044141,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25241897,25645504,26084120,26479646,26963092,27468531,27914064,28291024,28624564,28986794,29232474,29558864
UT,9e+05,936000,958000,974000,978000,994000,1009000,1019000,1029000,1047000,1059273,1101192,1135449,1170040,1200471,1236030,1274928,1319512,1367510,1420238,1461037,1515471,1558314,1594943,1622342,1642910,1662834,1678119,1689372,1705864,1729722,1771941,1821498,1875993,1930436,1976774,2022253,2065397,2100562,2129836,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2775413,2814797,2854146,2898773,2938327,2983626,3044241,3103540,3155153,3203383,3283785,3339113
VA,3986000,4095000,4180000,4276000,4357000,4411000,4456000,4508000,4558000,4614000,4651448,4750838,4824472,4901292,4971069,5047395,5121863,5193112,5270240,5307945,5346818,5444097,5492783,5564657,5643870,5715153,5811700,5932268,6036909,6120246,6213526,6283853,6383315,6464795,6536771,6601392,6665491,6732878,6789225,6872912,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8024004,8102437,8187456,8255861,8315430,8367303,8417651,8471011,8510920,8556642,8636471,8657365
VT,389000,390000,393000,397000,399000,404000,413000,423000,430000,437000,444732,454318,463143,468430,473002,479713,484928,491931,498109,505372,511456,515594,519109,523302,526660,530035,534066,540267,549763,557707,564526,567141,570115,574004,578900,582827,586352,588665,590579,593740,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625886,627197,626361,626603,625693,625810,624366,625132,624802,624046,642893,646972
WA,2855000,2882000,2942000,2955000,2961000,2967000,3057000,3174000,3270000,3343000,3413244,3447553,3447885,3478782,3549946,3621339,3693610,3776050,3889073,4017632,4132156,4235731,4276552,4300266,4343656,4400098,4452720,4531901,4639893,4746316,4900780,5013443,5139011,5247704,5334896,5431024,5509963,5604105,5687832,5756361,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6743009,6827479,6898599,6966252,7057531,7167287,7299961,7427951,7526793,7614024,7724031,7740745
WI,3962000,4009000,4049000,4112000,4165000,4232000,4274000,4303000,4345000,4378000,4417821,4462155,4502412,4524244,4545782,4578986,4595904,4626514,4646108,4682811,4705767,4726343,4728870,4721438,4735563,4747767,4755618,4777919,4822388,4856574,4902265,4952675,5004636,5055318,5095504,5137004,5173828,5200235,5222124,5250446,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690538,5705840,5720825,5738012,5753199,5762927,5775170,5793147,5809319,5824581,5896271,5880101
WV,1853000,1828000,1809000,1796000,1797000,1786000,1775000,1769000,1763000,1746000,1744237,1770657,1797648,1806360,1815447,1842250,1879503,1908088,1923395,1942146,1949644,1954124,1949604,1945061,1927697,1906831,1882350,1857585,1830215,1806568,1792481,1798212,1805462,1816179,1818490,1820560,1818983,1815588,1811688,1806929,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854265,1856606,1857446,1854768,1850569,1843332,1832435,1818683,1805953,1795263,1791420,1785526
WY,331000,337000,333000,336000,339000,332000,323000,322000,324000,329000,332416,340285,347345,354061,365501,381695,396952,413354,432880,454378,469557,491712,506400,510345,504896,499695,495633,476965,465101,458374,453401,457739,463491,469033,474982,478447,480085,480031,480045,479602,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564531,567491,576656,582620,583159,586389,585243,579994,579054,580116,577605,579483
X3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US,179972000,182976000,185739000,188434000,191085000,193460000,195499000,197375000,199312000,201305000,203302031,206827025,209283907,211357478,213341554,215465250,217562732,219759868,222095080,224567241,226545805,229465717,231664452,233791992,235824901,237923796,240132883,242288918,244498983,246819230,249464396,235926492,255029699,257754280,260327021,262803276,265273514,267783607,270299842,272683426,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331511512,332031554
